day,date,pccpue
-10,2016-05-21,0.41811836135108293
-9,2016-05-22,0.504619686440694
-8,2016-05-23,0.6089071871101098
-7,2016-05-24,0.7345881944829118
-6,2016-05-25,0.8859790503320961
-5,2016-05-26,1.0682342039724688
-4,2016-05-27,1.2874941287165782
-3,2016-05-28,1.551052575022004
-2,2016-05-29,1.8675424337447715
-1,2016-05-30,2.2471375064245174
0,2016-05-31,2.7017644986419014
1,2016-06-01,3.245315246026084
2,2016-06-02,3.8938432063712893
3,2016-06-03,4.665720301246993
4,2016-06-04,5.581720122085438
5,2016-06-05,6.664981547372793
6,2016-06-06,7.940793836778334
7,2016-06-07,9.436132239768472
8,2016-06-08,11.178865574877557
9,2016-06-09,13.196559457589812
10,2016-06-10,15.51481799117619
11,2016-06-11,18.15515062283229
12,2016-06-12,21.132425582822204
13,2016-06-13,24.452076992084702
14,2016-06-14,28.107358262650035
15,2016-06-15,32.07705336764665
16,2016-06-16,36.32412872646192
17,2016-06-17,40.795785234831214
18,2016-06-18,45.42521927336068
19,2016-06-19,50.13512655517963
20,2016-06-20,54.842637005437155
21,2016-06-21,59.46504836976334
22,2016-06-22,63.925535345599314
23,2016-06-23,68.15801699810021
24,2016-06-24,72.11056590856465
25,2016-06-25,75.74706738471718
26,2016-06-26,79.04718098121477
27,2016-06-27,82.00492539208832
28,2016-06-28,84.62635082377433
29,2016-06-29,86.9267796436391
30,2016-06-30,88.92802091887351
31,2016-07-01,90.65584413640207
32,2016-07-02,92.1378724353876
33,2016-07-03,93.40195161925074
34,2016-07-04,94.4749783462937
35,2016-07-05,95.38212862323726
36,2016-07-06,96.14640977028311
37,2016-07-07,96.7884575431303
38,2016-07-08,97.32650805927153
39,2016-07-09,97.77648633642208
40,2016-07-10,98.1521662144493
41,2016-07-11,98.46536830767178
42,2016-07-12,98.7261725828148
43,2016-07-13,98.94312998885647
44,2016-07-14,99.12346343656365
45,2016-07-15,99.27325264685761
46,2016-07-16,99.39760030229424
47,2016-07-17,99.50077886370212
48,2016-07-18,99.5863586228543
49,2016-07-19,99.65731826464088
50,2016-07-20,99.7161395698617
